"","sex","birth","marriage","religion","income","code_job","code_region"
"1",2,1936,2,2,NA,NA,1
"2",2,1945,2,2,NA,NA,1
"3",1,1948,2,2,120,942,1
"4",1,1942,3,1,200,762,1
"5",2,1923,2,1,NA,NA,1
"6",1,1962,1,1,NA,530,1
"7",2,1963,1,1,NA,NA,1
"8",2,2003,0,1,NA,NA,1
"9",1,1927,1,1,NA,NA,1
"10",2,1934,1,1,NA,NA,1
"11",2,1930,2,2,NA,NA,7
"12",1,1956,1,2,NA,NA,7
"13",2,1960,1,2,NA,NA,7
"14",2,1940,2,1,NA,NA,2
"15",2,1970,3,1,NA,NA,1
"16",2,1992,5,1,NA,NA,1
"17",1,1940,1,2,NA,NA,1
"18",2,1941,1,2,NA,NA,1
"19",1,1962,5,2,40,999,1
"20",1,1978,1,2,350,312,1
"21",2,1975,1,2,200,254,1
"22",2,2004,0,2,NA,NA,1
"23",2,2008,0,2,NA,NA,1
"24",1,1941,1,1,NA,NA,1
"25",2,1942,1,1,150,510,1
"26",1,1964,5,2,NA,530,1
"27",2,1940,2,2,NA,NA,1
"28",1,1975,5,1,NA,286,1
"29",1,1978,1,2,NA,521,1
"30",2,1961,1,2,NA,NA,1
"31",1,1961,1,2,NA,773,1
"32",2,1986,5,2,170,314,1
"33",2,1962,1,2,120,941,1
"34",2,1985,4,2,120,314,1
"35",1,1952,1,2,200,773,1
"36",2,1961,3,1,NA,951,1
"37",2,1982,1,2,NA,NA,1
"38",1,1968,5,2,NA,274,7
"39",1,1971,3,2,250,873,7
"40",2,1945,2,1,NA,NA,7
"41",1,1943,2,2,NA,NA,1
"42",2,1930,2,2,NA,NA,1
"43",2,1939,2,1,NA,NA,1
"44",1,1937,1,1,NA,NA,1
"45",2,1945,1,1,NA,NA,1
"46",1,1975,5,2,NA,NA,1
"47",1,1972,1,1,NA,NA,1
"48",2,1974,1,1,417,320,1
"49",2,2006,0,1,NA,NA,1
"50",2,2006,0,1,NA,NA,1
"51",1,1980,5,2,150,952,1
"52",2,1954,3,2,NA,NA,1
"53",2,1941,2,1,NA,NA,1
